relative_path,section_number,section_title,lesson_number,lesson_title,source_type,recommended_scope,visible_to_student,allowed_for_indexing,status,destination_level,suggested_endpoint,requires_reindex,internal_context,lesson_id_real,mapped_state,action,notes
00_QA_CORPUS_SECCION_0.md,1,SECCIÓN 0: El sistema de decisión,,,qa_report,section,False,False,excluded_operational,none,n/a,False,False,,,EXCLUDE_never_index,No indexable (eval/QA/operativo/recursos_externos).
00_atribuciones_seccion.md,1,SECCIÓN 0: El sistema de decisión,,,attribution,section,False,True,approved_for_ingestion,section,"add_single_document (docker exec, acotado) -> Chroma",True,True,,,INDEX_section,Interno del tutor (no visible); scope sección.
00_glosario_seccion.md,1,SECCIÓN 0: El sistema de decisión,,,glossary,section,True,True,approved_for_ingestion,section,"add_single_document (docker exec, acotado) -> Chroma",True,False,,,INDEX_section,
00_manifest_indexacion_seccion.md,1,SECCIÓN 0: El sistema de decisión,,,resource_manifest,section,False,False,excluded_operational,none,n/a,False,False,,,EXCLUDE_never_index,No indexable (eval/QA/operativo/recursos_externos).
00_mapa_conceptual_seccion.md,1,SECCIÓN 0: El sistema de decisión,,,canonical,section,True,True,approved_for_ingestion,section,"add_single_document (docker exec, acotado) -> Chroma",True,False,,,INDEX_section,
00_recursos_externos_sugeridos.md,1,SECCIÓN 0: El sistema de decisión,,,resource_manifest,section,True,False,needs_human_approval,none,n/a,False,False,,,EXCLUDE_never_index,No indexable (eval/QA/operativo/recursos_externos).
00_seccion_overview.md,1,SECCIÓN 0: El sistema de decisión,,,section_overview,section,True,True,approved_for_ingestion,section,"add_single_document (docker exec, acotado) -> Chroma",True,False,,,INDEX_section,
leccion_0_1_mezclar_es_decidir/01_contenido_canonico.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,canonical,lesson,True,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,False,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/02_guia_tutor_ia.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,tutor_guide,lesson,False,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,True,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/03_momentos_clase.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,moments,block,False,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,True,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/04_glosario.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,glossary,lesson,True,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,False,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/05_preguntas_frecuentes.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,faq,lesson,True,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,False,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/06_actividad_practica.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,activity,lesson,True,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,False,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/07_rubrica_actividad.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,rubric,lesson,True,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,False,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/08_recursos_manifest.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,resource_manifest,lesson,True,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,False,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/09_atribuciones.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,attribution,lesson,False,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,True,SEC2-R55,MAPPED,INDEX_lesson,
leccion_0_1_mezclar_es_decidir/10_prompt_evaluacion.md,1,SECCIÓN 0: El sistema de decisión,0.1,Mezclar es decidir: el ciclo de trabajo,evaluation_prompt,lesson,False,False,excluded_evaluation,none,n/a,False,False,SEC2-R55,MAPPED,EXCLUDE_never_index,No indexable (eval/QA/operativo/recursos_externos).
leccion_0_2_tu_oido_miente/01_contenido_canonico.md,1,SECCIÓN 0: El sistema de decisión,0.2,Tu oído miente: percepción y nivel de escucha,canonical,lesson,True,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,False,SEC2-R56,MAPPED,INDEX_lesson,
leccion_0_2_tu_oido_miente/02_guia_tutor_ia.md,1,SECCIÓN 0: El sistema de decisión,0.2,Tu oído miente: percepción y nivel de escucha,tutor_guide,lesson,False,True,approved_for_ingestion,lesson,"add_single_document (docker exec, acotado) -> Chroma",True,True,SEC2-R56,MAPPED,INDEX_lesson,
